,BusinessNum,agentName,appReferenceNumber,applicantName,applicationDate,applicationNumber,applicationStatus,articleName,designMainClassification,designNumber,dsShpClssCd,internationalRegisterDate,internationalRegisterNumber,inventorName,openDate,openNumber,priorityDate,priorityNumber,publicationDate,publicationNumber,regReferenceNumber,registrationDate,registrationNumber
53,1268101583,['이외백'],,['주식회사 대성'],2006-03-15,3.02E+12,소멸,침대,['D2210CA'],M01,['D2210CA'],,,['오성환'],,,,,2007-01-04,,,2006-12-28,3.00E+12
54,1268101583,['이외백'],,['주식회사 대성'],2006-03-15,3.02E+12,소멸,침대,['D2210CA'],M01,['D2210CA'],,,['오성환'],,,,,2007-03-08,,,2007-02-23,3.00E+12
55,1268101583,['이외백'],,['주식회사 대성'],2005-06-08,3.02E+12,소멸,침대,['D2210CA'],M01,['D2210CA'],,,['정민자'],,,,,2006-04-26,,,2006-04-20,3.00E+12
56,1268101583,['김덕태'],,['주식회사 대성'],2013-12-11,3.02E+12,등록,가스절단기용 손잡이,['K71490'],M01,['K71490'],,,['주성호'],,,,,2015-03-09,,,2015-03-02,3.01E+12
57,1268101583,['백영방'],,['주식회사 대성'],1993-10-14,3.02E+12,소멸,자동차용사이드미러의미러홀더,['G2900'],M01,"['G2900A', 'G2900']",,,['김성진'],,,,,1995-03-04,,,1995-01-20,3.00E+12
58,1268101583,['이외백'],,['주식회사 대성'],2005-12-24,3.02E+12,소멸,침대,['D2210CA'],M01,['D2210CA'],,,['오성환'],,,,,2006-08-28,,,2006-08-18,3.00E+12
59,1268101583,['백영방'],,['주식회사 대성'],1994-10-08,3.02E+12,소멸,자동차용사이드미러의각도조종기부착구,['G2900'],M01,"['G2900A', 'G2900']",,,['박영진'],,,,,1996-05-25,,,1996-04-12,3.00E+12
60,1268101583,['백영방'],,['주식회사 대성'],1994-10-25,3.02E+12,소멸,자동차용사이드미러의미러홀더,['G2900'],M01,"['G2900A', 'G2900']",,,['박영진'],,,,,1996-05-25,,,1996-04-12,3.00E+12
61,1268101583,['조창희'],,['주식회사 대성'],1989-03-28,3.02E+12,소멸,욕조,['D5311'],M01,"['D5311', 'D5311T']",,,['박봉환'],,,,,1990-04-27,,,1990-03-19,3.00E+12
62,1268101583,['조창희'],,['주식회사 대성'],1990-07-18,3.02E+12,소멸,욕조용앞가림판,['D53190'],M01,"['D53190', 'D53190A']",,,,,,,,1991-05-30,,,1991-04-17,3.00E+12
63,1268101583,"['이명택', '정중원', '최지연']",,['(주)대성'],2017-12-13,3.02E+12,등록,콘센트,['H13422A'],M001,['H13422A'],,,['박길홍'],,,,,2018-06-25,,,2018-06-19,3.01E+12
64,1268101583,['홍병의'],,['주식회사 대성'],2016-02-24,3.02E+12,소멸,콜리메이터 장착 하우징,"['J7360', 'J190']",M001,"['J190', 'J7360']",,,['김명학'],,,,,2016-10-05,,,2016-09-28,3.01E+12
65,1268101583,"['이명택', '정중원', '최지연']",,['(주)대성'],2017-01-23,3.02E+12,등록,콘센트,['H13422A'],M001,['H13422A'],,,['박길홍'],,,,,2017-07-27,,,2017-07-20,3.01E+12
66,1268101583,"['이명택', '정중원', '최지연']",,['(주)대성'],2021-01-18,3.02E+12,등록,콘센트,['H13422A'],M001,['H13422A'],,,['박길홍'],,,,,2022-02-11,,,2022-02-08,3.01E+12
67,1268101583,['고홍열'],,['(주)대성'],2008-10-14,3.02E+12,등록,멀티탭,['H13422A'],M01,['H13422A'],,,['박길홍'],,,,,2009-11-27,,,2009-11-19,3.01E+12
68,1058709074,,,,,,,,,,,,,,,,,,,,,,
69,5048100635,,,,,,,,,,,,,,,,,,,,,,
70,2118700538,,,,,,,,,,,,,,,,,,,,,,
71,3038105176,,,,,,,,,,,,,,,,,,,,,,
72,4318603453,,,,,,,,,,,,,,,,,,,,,,
73,2068600943,,,,,,,,,,,,,,,,,,,,,,
74,1138603978,,,,,,,,,,,,,,,,,,,,,,
75,1198600239,,,,,,,,,,,,,,,,,,,,,,
76,6168504643,,,,,,,,,,,,,,,,,,,,,,
77,1068104580,,,,,,,,,,,,,,,,,,,,,,
78,6108108585,,,,,,,,,,,,,,,,,,,,,,
79,2648102754,,,,,,,,,,,,,,,,,,,,,,
80,1318102125,,,,,,,,,,,,,,,,,,,,,,
81,2118808436,,,,,,,,,,,,,,,,,,,,,,
82,4588606459,,,,,,,,,,,,,,,,,,,,,,
83,1318602138,,,,,,,,,,,,,,,,,,,,,,
84,1198601888,,,,,,,,,,,,,,,,,,,,,,
85,2268108667,,,,,,,,,,,,,,,,,,,,,,
86,4538809912,,,,,,,,,,,,,,,,,,,,,,
87,1058706946,,,,,,,,,,,,,,,,,,,,,,
88,6848106803,,,,,,,,,,,,,,,,,,,,,,
89,3128103383,,,,,,,,,,,,,,,,,,,,,,
90,4188101049,,,,,,,,,,,,,,,,,,,,,,
91,6748104025,,,,,,,,,,,,,,,,,,,,,,
92,1088107283,,,,,,,,,,,,,,,,,,,,,,
93,1328708050,,,,,,,,,,,,,,,,,,,,,,
94,1748804288,['특허법인엠에이피에스'],,['주식회사 노리앤드'],2018-08-30,3.02E+12,등록,웨어러블 단말기용 손목밴드,"['H592', 'H33190', 'H590', 'J2392']",M001,"['H592', 'H33190', 'H590', 'J2392']",,,['이혜진'],,,,,2019-03-14,,,2019-03-06,3.01E+12
95,1088104508,,,,,,,,,,,,,,,,,,,,,,
96,4888702879,,,,,,,,,,,,,,,,,,,,,,
97,1308604793,,,,,,,,,,,,,,,,,,,,,,
98,1198109510,,,,,,,,,,,,,,,,,,,,,,
99,1051008337,['황정현'],,['주식회사 크린토피아'],2018-10-19,3.02E+12,거절,옷걸이,['D1111'],M001,['D1111'],,,['이범택'],2019-11-06,3.02E+12,,,,,,,
100,1051008337,"['이선행', '이현재', '홍성표', '최병길']",,['주식회사 크린토피아'],2002-07-25,3.02E+12,소멸,휴대용 탈취제 병,"['F4620', 'C4310']",M01,"['C4310', 'F4620T', 'F4620']",,,['이범택'],,,,,2003-06-02,,,2003-05-21,3.00E+12
101,1051008337,,,['주식회사 크린토피아'],2018-03-23,3.02E+12,등록,직물지,['M1110F'],M001,['M1110F'],,,['이범택'],,,,,2018-09-14,,,2018-09-10,3.01E+12
102,1051008337,,,['주식회사 크린토피아'],2018-12-11,3.02E+12,등록,직물지,['M1110D'],M001,['M1110D'],,,['이범택'],,,,,2019-02-14,,,2019-02-07,3.01E+12
103,1051008337,,,['주식회사 크린토피아'],2018-12-11,3.02E+12,등록,직물지,"['M1110E', 'N22']",M001,"['N22', 'M1110E']",,,['이범택'],,,,,2019-04-19,,,2019-04-15,3.01E+12
104,1051008337,,,['주식회사 크린토피아'],2018-03-22,3.02E+12,등록,직물지,['M1110H'],M001,['M1110H'],,,['이범택'],,,,,2018-08-21,,,2018-08-14,3.01E+12
105,1051008337,,,['주식회사 크린토피아'],2018-12-11,3.02E+12,등록,직물지,['M1110A'],M001,['M1110A'],,,['이범택'],,,,,2019-02-14,,,2019-02-07,3.01E+12
106,1051008337,,,['주식회사 크린토피아'],2018-12-11,3.02E+12,등록,직물지,"['M1110E', 'N21']",M001,"['M1110E', 'N21']",,,['이범택'],,,,,2019-04-19,,,2019-04-15,3.01E+12
107,1051008337,,,['주식회사 크린토피아'],2018-03-23,3.02E+12,등록,직물지,"['M1110E', 'N21']",M001,"['M1110E', 'N21']",,,['이범택'],,,,,2018-07-27,,,2018-07-20,3.01E+12
108,1051008337,,,['주식회사 크린토피아'],2018-03-23,3.02E+12,등록,직물지,"['M1110F', 'M1110H']",M001,"['M1110F', 'M1110H']",,,['이범택'],,,,,2018-07-27,,,2018-07-20,3.01E+12
109,1051008337,,,['주식회사 크린토피아'],2018-03-22,3.02E+12,등록,직물지,"['M1110G', 'N22']",M001,"['M1110G', 'N22']",,,['이범택'],,,,,2018-07-24,,,2018-07-18,3.01E+12
110,2618107701,,,,,,,,,,,,,,,,,,,,,,
111,1058704293,,,,,,,,,,,,,,,,,,,,,,
112,6778801828,,,,,,,,,,,,,,,,,,,,,,
113,1198601431,,,,,,,,,,,,,,,,,,,,,,
114,5028104667,,,,,,,,,,,,,,,,,,,,,,
115,1098602765,,,,,,,,,,,,,,,,,,,,,,
116,5438104785,,,,,,,,,,,,,,,,,,,,,,
117,8788100417,,,,,,,,,,,,,,,,,,,,,,
118,4828803203,,,,,,,,,,,,,,,,,,,,,,
119,6138100392,,,,,,,,,,,,,,,,,,,,,,
120,1498706673,,,,,,,,,,,,,,,,,,,,,,
121,5938107602,,,,,,,,,,,,,,,,,,,,,,
122,2018102169,,,,,,,,,,,,,,,,,,,,,,
123,8388106170,,,,,,,,,,,,,,,,,,,,,,
124,1208708457,,,,,,,,,,,,,,,,,,,,,,
125,1058209898,,,,,,,,,,,,,,,,,,,,,,
126,1358108765,,,,,,,,,,,,,,,,,,,,,,
127,2068600800,,,,,,,,,,,,,,,,,,,,,,
128,1448102883,,,,,,,,,,,,,,,,,,,,,,
129,8078102394,,,,,,,,,,,,,,,,,,,,,,
130,6071409094,,,,,,,,,,,,,,,,,,,,,,
131,6058507890,,,,,,,,,,,,,,,,,,,,,,
132,1728600874,,,,,,,,,,,,,,,,,,,,,,
133,1051102853,,,,,,,,,,,,,,,,,,,,,,
134,2148100999,"['강경찬', '변창규']",,['주식회사 시공사'],2006-12-13,3.02E+12,소멸,캐릭터카드,['E223'],M01,['E223'],,,['금창호'],,,,,2007-10-25,,,2007-10-19,3.00E+12
135,2148100999,['박상훈'],,['(주)시공사'],2010-04-30,3.02E+12,소멸,음향반사판,['L6131'],M01,['L6131'],,,['김명석'],,,,,2012-01-17,,,2012-01-05,3.01E+12
136,1198101721,['황창옥'],,['주식회사 신관산업'],2011-11-03,3.02E+12,등록,비상 호출기,['H4121'],M01,['H4121'],,,['이철재'],,,,,2012-11-01,,,2012-10-25,3.01E+12
137,2078102534,,,,,,,,,,,,,,,,,,,,,,
138,6228106721,,,,,,,,,,,,,,,,,,,,,,
139,2608600370,,,,,,,,,,,,,,,,,,,,,,
140,8388703264,,,,,,,,,,,,,,,,,,,,,,
141,2218109157,,,,,,,,,,,,,,,,,,,,,,
142,1198105626,['김종수'],,['모아통신 주식회사'],2000-04-28,3.02E+12,소멸,통신용 마이크로 필터,['H1430'],M01,['H1430'],,,['원제혁'],,,,,2001-08-08,,,2001-06-14,3.00E+12
143,1198105626,['김종수'],,['모아통신 주식회사'],2000-04-28,3.02E+12,소멸,통신용 마이크로 필터,['H1430'],M01,['H1430'],,,['원제혁'],,,,,2001-11-10,,,2001-09-20,3.00E+12
144,1108106935,,,,,,,,,,,,,,,,,,,,,,
145,5648108012,,,,,,,,,,,,,,,,,,,,,,
146,4028108820,,,,,,,,,,,,,,,,,,,,,,
147,4128106848,,,,,,,,,,,,,,,,,,,,,,
148,4725105662,,,,,,,,,,,,,,,,,,,,,,
149,2208106897,,,,,,,,,,,,,,,,,,,,,,
150,4028109789,['특허법인아이엠'],,['성우건설주식회사'],2018-01-23,3.02E+12,등록,옹벽용 콘크리트 패널,['L22121'],M001,['L22121'],,,['이형호'],,,,,2018-08-10,,,2018-08-02,3.01E+12
151,8520109919,,,,,,,,,,,,,,,,,,,,,,
152,4091804389,['특허법인우린'],,['진흥기업주식회사'],2008-09-12,3.02E+12,소멸,아파트 입구용 문주,"['L350', 'L350']",M01,['L350'],,,['이기웅'],,,,,2010-01-20,,,2010-01-12,3.01E+12
153,4091804389,['정호택'],,['진흥기업주식회사'],1987-04-03,3.02E+12,소멸,전자레인지용솥,['C5410'],M01,"['C5410T', 'C5410']",,,['원주열'],,,,,1988-08-04,,,1988-07-04,3.00E+12
154,4091804389,"['차순영', '차윤근']",,['진흥기업주식회사'],1988-08-30,3.02E+12,소멸,접시,['C5210B'],M01,['C5210B'],,,['원주열'],,,,,1990-02-03,,,1989-12-14,3.00E+12
155,4091804389,['유기현'],,"['진흥기업주식회사', '(주)지아르케']",2014-04-24,3.02E+12,등록,교자상 보관용 결착구,"['D1239', 'D2900']",M01,"['D2900', 'D1239']",,,"['이원화', '정문영', '김효인']",,,,,2014-11-14,,,2014-11-07,3.01E+12
156,4091804389,['유기현'],,"['진흥기업주식회사', '(주)지아르케']",2014-04-24,3.02E+12,등록,교자상 보관용 거치대,['D130'],M01,['D130'],,,"['이원화', '정문영', '김효인']",,,,,2014-12-03,,,2014-11-25,3.01E+12
157,3738107789,['최덕용'],,"['주식회사 넵스', '두산건설 주식회사']",2011-10-10,3.02E+12,등록,주방용 수납장,['D25173'],M01,['D25173'],,,"['변인우', '박현정', '송인택', '조동희', '김남준', '이재욱']",,,,,2012-10-17,,,2012-10-11,3.01E+12
158,3738107789,"['함현경', '홍원진', '이병철']",,['두산건설 주식회사'],2007-07-13,3.02E+12,등록,건축물의 층간 방진재,['L601'],M01,['L601'],,,"['윤창연', '이성연', '지석원']",,,,,2008-03-13,,,2008-03-07,3.00E+12
159,3738107789,['이정기'],,['두산건설 주식회사'],2003-01-17,3.02E+12,소멸,가두리 양식장용 부이 브라켓트,['K22'],M01,['K22'],,,['안기환'],,,,,2004-05-04,,,2004-04-23,3.00E+12
160,3738107789,['이중섭'],,['두산건설 주식회사'],1999-09-06,3.02E+12,소멸,콘크리트 거푸집용 판재,['L130B'],M01,['L130B'],,,['김주용'],,,,,2000-08-16,,,2000-06-23,3.00E+12
161,3738107789,['최덕용'],,"['주식회사 넵스', '두산건설 주식회사']",2011-10-10,3.02E+12,등록,수납부가 부설된 장롱,['D25174'],M01,['D25174'],,,"['변인우', '박현정', '송인택', '조동희', '김남준', '이재욱']",,,,,2012-11-15,,,2012-11-08,3.01E+12
162,3738107789,"['김명섭', '이화익']",,['두산건설 주식회사'],1998-07-28,3.02E+12,소멸,후랙시블 엘보우,['M24110'],M01,['M24110'],,,['박수한'],1998-10-01,3.02E+12,,,1999-07-01,,,1999-04-12,3.00E+12
163,3738107789,"['김명섭', '이화익']",,['두산건설 주식회사'],1998-07-28,3.02E+12,소멸,전열 융착 이음관,['M24190'],M01,['M24190'],,,['박수한'],1998-10-01,3.02E+12,,,1999-07-01,,,1999-04-12,3.00E+12
164,3738107789,['최덕용'],,"['주식회사 넵스', '두산건설 주식회사']",2011-10-10,3.02E+12,등록,세탁물 반출수납장,['C3512'],M01,['C3512'],,,"['변인우', '박현정', '송인택', '조동희', '김남준', '이재욱']",,,,,2013-01-17,,,2013-01-11,3.01E+12
165,1178809986,['특허법인 케이투비'],,['(주)씨앤테크'],2017-03-13,3.02E+12,등록,도난방지용 감지기,"['H1560', 'J630']",M001,"['H1560', 'J630']",,,['이정훈'],,,,,2017-12-04,,,2017-11-28,3.01E+12
166,1068607319,,,,,,,,,,,,,,,,,,,,,,
167,6138107603,,,,,,,,,,,,,,,,,,,,,,
168,4748603254,,,,,,,,,,,,,,,,,,,,,,
169,1368702594,,,,,,,,,,,,,,,,,,,,,,
170,1198101660,,,,,,,,,,,,,,,,,,,,,,
171,3608605813,,,,,,,,,,,,,,,,,,,,,,
172,1408104490,,,,,,,,,,,,,,,,,,,,,,
173,1078109144,,,,,,,,,,,,,,,,,,,,,,
174,1208707200,,,,,,,,,,,,,,,,,,,,,,
175,7048809588,,,,,,,,,,,,,,,,,,,,,,
176,1408805480,,,,,,,,,,,,,,,,,,,,,,
177,4723804039,,,,,,,,,,,,,,,,,,,,,,
178,2129509991,,,,,,,,,,,,,,,,,,,,,,
179,1078103301,['유영대'],,['(주)포인트닉스'],2003-09-01,3.02E+12,소멸,치과용 카메라,"['J7361', 'J762']",M01,"['J7361', 'J762']",,,['정좌락'],,,,,2004-07-01,,,2004-06-03,3.00E+12
180,6528706526,,,,,,,,,,,,,,,,,,,,,,
181,4588702304,,,,,,,,,,,,,,,,,,,,,,
182,6598708888,,,,,,,,,,,,,,,,,,,,,,
183,1328601944,,,,,,,,,,,,,,,,,,,,,,
184,1348101402,,,,,,,,,,,,,,,,,,,,,,
185,8798700491,,,,,,,,,,,,,,,,,,,,,,
186,2118702236,,,,,,,,,,,,,,,,,,,,,,
187,1388100885,,,,,,,,,,,,,,,,,,,,,,
188,2018609076,['송세근'],,['주식회사 에이유테크'],2015-03-20,3.02E+12,소멸,휴대단말기용 보조배터리,['H182'],M001,['H182'],,,['조근호'],,,,,2015-10-22,,,2015-10-12,3.01E+12
189,2018609076,"['강정빈', '심찬', '송두현']",,['주식회사 에이유테크'],2021-06-24,3.02E+12,등록,이륜차용 계기판,['G2390'],M001,['G2390'],,,['조근호'],,,,,2021-12-07,,,2021-12-02,3.01E+12
190,2648102998,,,,,,,,,,,,,,,,,,,,,,
191,2068807294,,,,,,,,,,,,,,,,,,,,,,
192,2088700897,,,,,,,,,,,,,,,,,,,,,,
193,1138706011,,,,,,,,,,,,,,,,,,,,,,
194,2548803140,,,,,,,,,,,,,,,,,,,,,,
195,4708604376,,,,,,,,,,,,,,,,,,,,,,
196,2268100963,,,,,,,,,,,,,,,,,,,,,,
197,2108108201,"['이우영', '이은철']",,['(주)모스트앤컴퍼니'],2010-02-03,3.02E+12,소멸,안내 표지판,['F510C'],M01,['F510C'],,,['심장보'],,,,,2010-02-26,,,2010-02-22,3.01E+12
198,2108108201,"['이우영', '이은철']",,['(주)모스트앤컴퍼니'],2010-01-15,3.02E+12,소멸,안내표지판용 지주,['F5190'],M01,['F5190'],,,"['오태환', '심장보']",,,,,2010-02-26,,,2010-02-22,3.01E+12
199,2118702099,,,,,,,,,,,,,,,,,,,,,,
200,6138107051,['양정근'],,['(주)태우산업'],2017-01-04,3.02E+12,등록,레저용 보트,['G321'],M001,['G321'],,,['전진용'],,,,,2017-06-05,,,2017-05-29,3.01E+12
201,6138107051,['특허법인아주'],,['(주)태우산업'],2017-06-08,3.02E+12,등록,채염용 컨베이어,['G110'],M001,['G110'],,,"['이미소', '김재규', '김은미', '이진선']",,,,,2018-06-05,,,2018-05-28,3.01E+12
202,1278608137,['특허법인로얄'],,['주식회사 아우라'],2014-07-24,3.02E+12,등록,관 이음매용 링,['M24190'],M001,['M24190'],,,['정선민'],,,,,2015-03-02,,,2015-02-23,3.01E+12
203,8538605403,,,,,,,,,,,,,,,,,,,,,,
204,1058708631,,,,,,,,,,,,,,,,,,,,,,
205,1058704837,['이정현'],,"['주식회사 중앙디자인', '(주)자드미디어웍스', '(주)아진산전']",2009-12-22,3.02E+12,등록,진열장용 프레임,['F52910'],M01,['F52910'],,,"['황정제', '김두오', '이동수', '이정재']",,,,,2010-06-10,,,2010-06-01,3.01E+12
206,1218103764,,,,,,,,,,,,,,,,,,,,,,
207,8328806863,,,,,,,,,,,,,,,,,,,,,,
208,1058707499,,,,,,,,,,,,,,,,,,,,,,
209,1138601008,['특허법인 신태양'],,['(주)아이티로그'],2017-06-01,3.02E+12,소멸,간판용 프레임,['F5190'],M001,['F5190'],,,"['윤태운', '김상식', '최부성']",,,,,2018-03-20,,,2018-03-14,3.01E+12
210,1218100534,,,,,,,,,,,,,,,,,,,,,,
211,1138107504,,,,,,,,,,,,,,,,,,,,,,
212,1378806252,['해움특허법인'],,['(주)플러스티브이'],2018-03-12,3.02E+12,등록,화상디자인이 표시된 디스플레이 패널,"['H1721S', 'H3301S', 'H4333S', 'H51S', 'H540S']",M001,"['H4333S', 'H51S', 'H1721S', 'H3301S', 'H540S']",,,['조재화'],,,,,2018-09-18,,,2018-09-10,3.01E+12
213,1378806252,['해움특허법인'],,['(주)플러스티브이'],2018-03-12,3.02E+12,등록,화상디자인이 표시된 디스플레이 패널,"['H1721S', 'H3301S', 'H4333S', 'H51S', 'H540S']",M001,"['H4333S', 'H51S', 'H1721S', 'H3301S', 'H540S']",,,['조재화'],,,,,2018-11-14,,,2018-11-07,3.01E+12
214,1052306139,['최박용'],,['이종혁'],1986-03-19,3.02E+12,소멸,음료용기,['F450B'],M01,['F450B'],,,['이종혁'],,,,,1987-04-04,,,1987-02-24,3.00E+12
215,1052306139,['정충곤'],,['이종혁'],2009-04-07,3.02E+12,소멸,광 중합기용 충전기,['J760'],M01,['J760'],,,['이종혁'],,,,,2010-06-03,,,2010-05-25,3.01E+12
216,4188107625,,,,,,,,,,,,,,,,,,,,,,
217,5868103558,,,,,,,,,,,,,,,,,,,,,,
218,6708105431,,,,,,,,,,,,,,,,,,,,,,
219,2148804352,['박종욱'],,['(주)리우솔루션'],2014-04-04,3.02E+12,등록,공조 시스템용 센서,"['H1558', 'H1560']",M01,"['H1558', 'H1560']",,,['김상건'],,,,,2014-06-19,,,2014-06-13,3.01E+12
220,2148804352,['박종욱'],,['(주)리우솔루션'],2014-04-04,3.02E+12,등록,공조 시스템용 센서,"['H1558', 'H1560']",M01,"['H1558', 'H1560']",,,['김상건'],,,,,2014-07-11,,,2014-07-03,3.01E+12
221,5058108440,,,,,,,,,,,,,,,,,,,,,,
222,2268608592,,,,,,,,,,,,,,,,,,,,,,
223,6848605240,,,,,,,,,,,,,,,,,,,,,,
224,1358107212,,,,,,,,,,,,,,,,,,,,,,
225,1232402587,['서대석'],,['에스케이건설 주식회사'],1993-09-25,3.02E+12,소멸,문틀설치용거푸집,['L1310'],M01,"['L1310', 'L1310T']",,,['유용민'],,,,,1994-10-06,,,1994-09-02,3.00E+12
226,1232402587,"['서대석', '특허법인 웰']",,['에스케이건설 주식회사'],1994-12-16,3.02E+12,소멸,욕실조립용바닥방수판,['D569'],M01,"['D569', 'D569A']",,,"['정재화', '홍성관']",,,,,1996-04-30,,,1996-03-21,3.00E+12
227,1232402587,['특허법인신성'],,['에스케이건설 주식회사'],1996-12-26,3.02E+12,소멸,콘크리트 거푸집,['L1310'],M01,"['L1310', 'L1310T']",,,"['홍순조', '양동훈', '유용민']",,,,,1997-12-30,,,1997-11-17,3.00E+12
