PublicationAgency,MergedText
정보통신산업진흥원,SW융합역량강화사업 대한민국 1415112980.0 SW융합역량강화과정 이진규2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,SW융합역량강화사업 대한민국 1415112980.0 SW융합역량강화과정 이진규2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,SW융합역량강화사업 대한민국 1415112980.0 SW융합역량강화과정 이진규2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,재능기부 SW동아리 활성화 대한민국 1415127413.0 소프트웨어동아리 재능기부 활성화 김종석2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,재능기부 SW동아리 활성화 대한민국 1415127413.0 소프트웨어동아리 재능기부 활성화 김종석2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,재능기부 SW동아리 활성화 대한민국 1415127413.0 소프트웨어동아리 재능기부 활성화 김종석2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,재능기부 SW동아리 활성화 대한민국 1415127413.0 소프트웨어동아리 재능기부 활성화 김종석2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,재능기부 SW동아리 활성화 대한민국 1415127413.0 소프트웨어동아리 재능기부 활성화 김종석2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,RFID/USN 클러스터 구축 대한민국 1415109550.0 RFID/USN클러스터구축 이승민2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,RFID/USN 클러스터 구축 대한민국 1415109550.0 RFID/USN클러스터구축 이승민2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,RFID/USN 클러스터 구축 대한민국 1415109550.0 RFID/USN클러스터구축 이승민2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,RFID/USN 클러스터 구축 대한민국 1415109550.0 RFID/USN클러스터구축 이승민2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,RFID/USN 클러스터 구축 대한민국 1415109550.0 RFID/USN클러스터구축 이승민2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,초연결사회 창조문화산업 확산을 위한 훈민정음 기반 다언어 입력플랫폼 및 교육콘텐츠 개발 대한민국 1711028310.0 외국어입력 플랫폼기반구축 김영우2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,초연결사회 창조문화산업 확산을 위한 훈민정음 기반 다언어 입력플랫폼 및 교육콘텐츠 개발 대한민국 1711028310.0 외국어입력 플랫폼기반구축 김영우2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,초연결사회 창조문화산업 확산을 위한 훈민정음 기반 다언어 입력플랫폼 및 교육콘텐츠 개발 대한민국 1711028310.0 외국어입력 플랫폼기반구축 김영우2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,초연결사회 창조문화산업 확산을 위한 훈민정음 기반 다언어 입력플랫폼 및 교육콘텐츠 개발 대한민국 1711028310.0 외국어입력 플랫폼기반구축 김영우2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,초연결사회 창조문화산업 확산을 위한 훈민정음 기반 다언어 입력플랫폼 및 교육콘텐츠 개발 대한민국 1711028310.0 외국어입력 플랫폼기반구축 김영우2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,SW-시스템반도체 융합경쟁력 강화 대한민국 1415128834.0 SW-시스템반도체융합경쟁력강화 이혁재2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,SW-시스템반도체 융합경쟁력 강화 대한민국 1415128834.0 SW-시스템반도체융합경쟁력강화 이혁재2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,SW-시스템반도체 융합경쟁력 강화 대한민국 1415128834.0 SW-시스템반도체융합경쟁력강화 이혁재2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,SW-시스템반도체 융합경쟁력 강화 대한민국 1415128834.0 SW-시스템반도체융합경쟁력강화 이혁재2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,SW-시스템반도체 융합경쟁력 강화 대한민국 1415128834.0 SW-시스템반도체융합경쟁력강화 이혁재2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,SaaS 활성화 기반구축 대한민국 1415128715.0 SaaS 활성화 기반 구축 조유진2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,SaaS 활성화 기반구축 대한민국 1415128715.0 SaaS 활성화 기반 구축 조유진2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,SaaS 활성화 기반구축 대한민국 1415128715.0 SaaS 활성화 기반 구축 조유진2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,SaaS 활성화 기반구축 대한민국 1415128715.0 SaaS 활성화 기반 구축 조유진2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,SaaS 활성화 기반구축 대한민국 1415128715.0 SaaS 활성화 기반 구축 조유진2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,GCS(Global Creative Software)과제 SW 품질확보를 위한 품질활동 관리사업 대한민국 1711029795.0 GCS(Global Creative Software)과제 SW 품질 확보를 위한 품질활동 관리사업 최석원2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,GCS(Global Creative Software)과제 SW 품질확보를 위한 품질활동 관리사업 대한민국 1711029795.0 GCS(Global Creative Software)과제 SW 품질 확보를 위한 품질활동 관리사업 최석원2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,GCS(Global Creative Software)과제 SW 품질확보를 위한 품질활동 관리사업 대한민국 1711029795.0 GCS(Global Creative Software)과제 SW 품질 확보를 위한 품질활동 관리사업 최석원2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,GCS(Global Creative Software)과제 SW 품질확보를 위한 품질활동 관리사업 대한민국 1711029795.0 GCS(Global Creative Software)과제 SW 품질 확보를 위한 품질활동 관리사업 최석원2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,GCS(Global Creative Software)과제 SW 품질확보를 위한 품질활동 관리사업 대한민국 1711029795.0 GCS(Global Creative Software)과제 SW 품질 확보를 위한 품질활동 관리사업 최석원2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,융합산업활성화기반조성 대한민국 1711103081.0 융합산업활성화기반조성 윤준배2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,융합산업활성화기반조성 대한민국 1711103081.0 융합산업활성화기반조성 윤준배2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,융합산업활성화기반조성 대한민국 1711103081.0 융합산업활성화기반조성 윤준배2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,융합산업활성화기반조성 대한민국 1711103081.0 융합산업활성화기반조성 윤준배2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,융합산업활성화기반조성 대한민국 1711103081.0 융합산업활성화기반조성 윤준배2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,2016년 정보통신산업 진흥 연차보고서 대한민국 1711042424.0 2016년 정보통신산업 진흥 연차보고서 변화성2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,2016년 정보통신산업 진흥 연차보고서 대한민국 1711042424.0 2016년 정보통신산업 진흥 연차보고서 변화성2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,2016년 정보통신산업 진흥 연차보고서 대한민국 1711042424.0 2016년 정보통신산업 진흥 연차보고서 변화성2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,2016년 정보통신산업 진흥 연차보고서 대한민국 1711042424.0 2016년 정보통신산업 진흥 연차보고서 변화성2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,2016년 정보통신산업 진흥 연차보고서 대한민국 1711042424.0 2016년 정보통신산업 진흥 연차보고서 변화성2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,SW자산재개발 대한민국 1711055154.0 SW자산재개발 사업 김민수2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,SW자산재개발 대한민국 1711055154.0 SW자산재개발 사업 김민수2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,SW자산재개발 대한민국 1711055154.0 SW자산재개발 사업 김민수2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,SW자산재개발 대한민국 1711055154.0 SW자산재개발 사업 김민수2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,SW자산재개발 대한민국 1711055154.0 SW자산재개발 사업 김민수2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,공개SW활성화지원 대한민국 1415100382.0 공개 SW 활성화 지원 김태열2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,공개SW활성화지원 대한민국 1415100382.0 공개 SW 활성화 지원 김태열2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,공개SW활성화지원 대한민국 1415100382.0 공개 SW 활성화 지원 김태열2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,공개SW활성화지원 대한민국 1415100382.0 공개 SW 활성화 지원 김태열2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,공개SW활성화지원 대한민국 1415100382.0 공개 SW 활성화 지원 김태열2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
정보통신산업진흥원,산학협업 IT멘토링 제도 운영 대한민국 1415109522.0 IT멘토링 제도 운영 권장우2208205880 EQU RFID/USN 클러스터 구축 1415098989.0 2.01e+19 NFEC-2010-02-078393 2009.0 2009.0 N38 지식경제부 36003632301 RFID/USN클러스터구축(R&D) ABX5692 10411.0 기타 정보기술 10500.0 지능네트워크 기술 L09 RFID/USN nan nan nan nan
정보통신산업진흥원,산학협업 IT멘토링 제도 운영 대한민국 1415109522.0 IT멘토링 제도 운영 권장우2208205880 EQU RFID/USN 시험인증기반구축 1415118804.0 2.01e+19 NFEC-2012-05-163158 2012.0 2011.0 N38 지식경제부 201107444030302A 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 L0999 달리 분류되지 않는 RFID/USN nan nan nan nan
정보통신산업진흥원,산학협업 IT멘토링 제도 운영 대한민국 1415109522.0 IT멘토링 제도 운영 권장우2208205880 EQU SW-시스템반도체융합경쟁력강화 1415126970.0 2.01e+19 NFEC-2013-02-175952 2013.0 2012.0 N38 지식경제부 201207448050304A SW-시스템반도체융합경쟁력강화 ABX5692 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L0202 S/W 솔루션 nan nan nan nan
정보통신산업진흥원,산학협업 IT멘토링 제도 운영 대한민국 1415109522.0 IT멘토링 제도 운영 권장우2208205880 EQU RFID/USN 서비스활성화기반구축 1711001259.0 2.01e+19 NFEC-2014-05-187309 2014.0 2013.0 P12 미래창조과학부 582606638 정보통신연구기반구축 ABX5692 10214.0 기타 네트워크기술 10500.0 지능네트워크 기술 EE0905 RFID/USN 서비스 nan nan nan nan
정보통신산업진흥원,산학협업 IT멘토링 제도 운영 대한민국 1415109522.0 IT멘토링 제도 운영 권장우2208205880 EQU IoT 오픈플랫폼 기반 개발·검증지원 인프라구축 1711055452.0 2.02e+19 NFEC-2017-11-240775 2017.0 2017.0 P71 과학기술정보통신부 BIZ2017099BIZ2017119BIZ2017130 정보통신연구기반구축(R&amp;D) ABX5692 10411.0 기타 정보기술 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EE0904 활용서비스 플랫폼 및 응용 S/W nan nan nan nan
