,BusinessNum,ResearchPublicNo,PublicationAgency,ResultTitleKR,Contents,PublicationCountry,ProjectNumber,ProjectTitle,ManagerName
63,1068104580,TRKO201500011397,(주)하이맥스,공동주택전용 지능형 화재감시시스템 개발,제출문 ... 1요약문 ... 3차례 ... 6그림차례 ... 9표차례 ... 17제 1 장 서 론 ... 22 1.1 연구개발의 필요성 ... 22 1.2 연구개발의 내용 ... 23 1.3 국내.외 기술동향 ... 24제 2 장 공동주택의 화재안전의 실태 현황분석 ... 25 2.1 공동주택 화재사례분석 ... 25 2.2 공동주택의 화재 위험성 조사 ...,대한민국,1665006287,공동주택 전용 지능형 화재감시시스템 개발,강원선
64,1068104580,TRKO201400019034,(주)하이맥스,단독경보형감지기 성능향상 기술개발,제 출 문... 1보고서 요약서... 2요 약 문... 3차 례... 6그 림 차 례... 8표 차 례... 15제 1 장 서 론... 18 1.1 연구개발의 필요성... 18 1.2 연구개발의 내용... 19 1.3 국내. 외 기술동향... 20제 2 장 단독경보형감지기의 구조 및 원리... 22 2.1 감지기의 종류... 22 2.2 감지기의 구조 및 ...,대한민국,1665005860,단독경보형 감지기 성능향상 기술개발,강원선
65,1068104580,TRKO201500011397,(주)하이맥스,공동주택전용 지능형 화재감시시스템 개발,제출문 ... 1요약문 ... 3차례 ... 6그림차례 ... 9표차례 ... 17제 1 장 서 론 ... 22 1.1 연구개발의 필요성 ... 22 1.2 연구개발의 내용 ... 23 1.3 국내.외 기술동향 ... 24제 2 장 공동주택의 화재안전의 실태 현황분석 ... 25 2.1 공동주택 화재사례분석 ... 25 2.2 공동주택의 화재 위험성 조사 ...,대한민국,1665006287,공동주택 전용 지능형 화재감시시스템 개발,강원선
66,1068104580,TRKO201200011767,(주)하이맥스,통합방재관리를 위한 네트워크형 화재수신기의 개발,제출문... 1보고서 초록... 2요약문... 4차례... 6그림차례... 7제 1 장 연구 목표... 8 1.1 연구개발의 필요성... 8 1.2 연구개발의 목표 및 내용... 9제 2 장 통합네트워크 시스템의 개발... 10 2.1 네트워크 수신기... 10 2.2 통합 컨트롤 데스크... 13제 3 장 연구 결과... 17 3.1 네트워크 수신기의 성...,대한민국,1665005611,통합방재관리를 위한 네트워크형 화재수신기의 개발,강원선
67,1068104580,TRKO201000000201,하이맥스(주),유무선화재감지시스템 개발,표지...1제출문...2과제요약서(초록)...3목차...6제1장 연구목표  ...7제2장 무선감지기의 개발  ...8 제1절 국내.외 무선기기의 기준  ...8  1. 국내 무선기기  ...8  2. 국외 무선기기  ...12  3. 주파수의 선택  ...18 제2절 무선감지기의 설계  ...19  1. 송신장치  ...20  2. 수신장치  ...25제3...,대한민국,1665005372,유무선화재감지시스템 개발,강원선
68,1068104580,TRKO201000000201,하이맥스(주),유무선화재감지시스템 개발,표지...1제출문...2과제요약서(초록)...3목차...6제1장 연구목표  ...7제2장 무선감지기의 개발  ...8 제1절 국내.외 무선기기의 기준  ...8  1. 국내 무선기기  ...8  2. 국외 무선기기  ...12  3. 주파수의 선택  ...18 제2절 무선감지기의 설계  ...19  1. 송신장치  ...20  2. 수신장치  ...25제3...,대한민국,1665005372,유무선화재감지시스템 개발,강원선
69,1068104580,TRKO201400019034,(주)하이맥스,단독경보형감지기 성능향상 기술개발,제 출 문... 1보고서 요약서... 2요 약 문... 3차 례... 6그 림 차 례... 8표 차 례... 15제 1 장 서 론... 18 1.1 연구개발의 필요성... 18 1.2 연구개발의 내용... 19 1.3 국내. 외 기술동향... 20제 2 장 단독경보형감지기의 구조 및 원리... 22 2.1 감지기의 종류... 22 2.2 감지기의 구조 및 ...,대한민국,1665005860,단독경보형 감지기 성능향상 기술개발,강원선
70,1068104580,TRKO201000000201,하이맥스(주),유무선화재감지시스템 개발,표지...1제출문...2과제요약서(초록)...3목차...6제1장 연구목표  ...7제2장 무선감지기의 개발  ...8 제1절 국내.외 무선기기의 기준  ...8  1. 국내 무선기기  ...8  2. 국외 무선기기  ...12  3. 주파수의 선택  ...18 제2절 무선감지기의 설계  ...19  1. 송신장치  ...20  2. 수신장치  ...25제3...,대한민국,1665005372,유무선화재감지시스템 개발,강원선
71,6108108585,,,,,,,,
72,2648102754,,,,,,,,
73,1318102125,,,,,,,,
74,2118808436,,,,,,,,
75,4588606459,,,,,,,,
76,1318602138,,,,,,,,
77,1198601888,,,,,,,,
78,2268108667,,,,,,,,
79,4538809912,,,,,,,,
80,1058706946,,,,,,,,
81,6848106803,,,,,,,,
82,3128103383,,,,,,,,
83,4188101049,,,,,,,,
84,6748104025,,,,,,,,
85,1088107283,,,,,,,,
86,1328708050,,,,,,,,
87,1748804288,TRKO202000027017,노리앤드,지문인식기술을 활용하여 사용자 인증이 가능한 모듈형 융합 바코드리더기,비공개항목입니다.,대한민국,1425120934,지문인식기술을 활용하여 사용자 인증이 가능한 모듈형 융합 바코드리더기,이혜진
88,1088104508,TRKO202000009949,(주)에스알포스트,우즈벡 및 CIS 회원국 대상의 범정부 클라우드 기반 통합민원 관리시스템 표준화 개발,비공개항목입니다.,대한민국,1425131832,우즈벡 및 CIS 회원국 대상의 범정부 클라우드 기반 통합민원 관리시스템 표준화 개발,오창용
89,1088104508,TRKO202000008917,(주)에스알포스트,복합 가중치 기반의 VOC(Voice Of Customer)자동 카테고라이징 모델링 및 RPA(Robotic Process Automation)를 활용한 VOC 단계별 입력정보 추론 플랫폼 개발,비공개항목입니다.,대한민국,1425137401,복합 가중치 기반의 VOC(Voice Of Customer)자동 카테고라이징 모델링 및 RPA(Robotic Process Automation)를 활용한 VOC 단계별 입력정보 추론 플랫폼 개발,전지선
90,1088104508,TRKO201800041632,(주)에스알포스트,파일 업로드 기반의 ASR 서비스 플랫폼 및 딥러닝 기반의 음성인식 강화학습 개발,비공개항목입니다.,대한민국,1425115996,파일 업로드 기반의 ASR 서비스 플랫폼 및 딥러닝 기반의 음성인식 강화학습 개발,김난규
91,1088104508,TRKO201800041947,(주)에스알포스트,"이슈의 탐지와 예측, 자동추천을 통한 Customer Potential Risk 분석 및 개선 효과성 분석 시스템 개발",비공개항목입니다.,대한민국,1425109064,"이슈의 탐지와 예측, 자동추천을 통한 Customer Potential Risk 분석 및 개선효과성 분석 시스템 개발",오창용
92,4888702879,,,,,,,,
93,1308604793,,,,,,,,
94,1198109510,,,,,,,,
95,1051008337,,,,,,,,
96,2618107701,,,,,,,,
97,1058704293,,,,,,,,
98,6778801828,,,,,,,,
99,1198601431,,,,,,,,
100,5028104667,,,,,,,,
101,1098602765,,,,,,,,
102,5438104785,,,,,,,,
103,8788100417,,,,,,,,
104,4828803203,,,,,,,,
105,6138100392,,,,,,,,
106,1498706673,,,,,,,,
107,5938107602,,,,,,,,
108,2018102169,,,,,,,,
109,8388106170,,,,,,,,
110,1208708457,,,,,,,,
111,1058209898,,,,,,,,
112,1358108765,,,,,,,,
113,2068600800,,,,,,,,
114,1448102883,,,,,,,,
115,8078102394,,,,,,,,
116,6071409094,,,,,,,,
117,6058507890,,,,,,,,
118,1728600874,,,,,,,,
119,1051102853,,,,,,,,
120,2148100999,,,,,,,,
121,1198101721,,,,,,,,
122,2078102534,,,,,,,,
123,6228106721,,,,,,,,
124,2608600370,TRKO202000011214,엔코드,고객 취향 개발 엔진과 상품 속성 자동학습 엔진에 기반한 매칭 플랫폼 구축,비공개항목입니다.,대한민국,1425129768,고객 취향 개발 엔진과 상품 속성 자동학습 엔진에 기반한 매칭 플랫폼 구축,정준영
125,8388703264,,,,,,,,
126,2218109157,,,,,,,,
127,1198105626,,,,,,,,
128,1108106935,,,,,,,,
129,5648108012,TRKO202000025085,플랜아이,사용자 콘텐츠 소비 패턴 분석 기술 기반의 적응형 맞춤정보 제공 기술,비공개항목입니다.,대한민국,1425126043,사용자 콘텐츠 소비 패턴 분석 기술 기반의 적응형 맞춤정보 제공 기술,이정환
130,4028108820,,,,,,,,
131,4128106848,TRKO201900005978,엔에이치네트웍스,양방향 무선 데이터 전송용 이동식 다기능 트레일러 시스템 개발,비공개항목입니다.,대한민국,1425107908,양방향 무선 데이터 전송용 이동식 다기능 트레일러 시스템 개발,양홍대
132,4725105662,,,,,,,,
133,2208106897,,,,,,,,
134,4028109789,,,,,,,,
135,8520109919,,,,,,,,
136,4091804389,TRKO202000010845,진흥기업,2중 라이너 메디아 드럼 개발을 통한 냉각 및 탈사 효율 120% 향상,비공개항목입니다.,대한민국,1425130359,2중 라이너 메디아 드럼 개발을 통한 냉각 및 탈사 효율 120% 향상,조정임
137,3738107789,,,,,,,,
138,1178809986,TRKO201900014630,씨앤테크,스마트 IoT 동산담보솔루션,비공개항목입니다.,대한민국,1425109389,스마트 IoT 동산담보 솔루션,이정훈
139,1178809986,TRKO201800011094,씨앤테크,공작기계용 IoT 융복합 Sensor/Module 개발 및 수집 Data 분석과 확장이 가능한 IoT Service Platform 개발,비공개항목입니다.,대한민국,1425095964,공작기계용 IoT 융복합Sensor/Module 개발 및 수집Data분석과 확장이 가능한 IoT Service Platform개발,김석현
140,1178809986,TRKO201800011094,씨앤테크,공작기계용 IoT 융복합 Sensor/Module 개발 및 수집 Data 분석과 확장이 가능한 IoT Service Platform 개발,비공개항목입니다.,대한민국,1425095964,공작기계용 IoT 융복합Sensor/Module 개발 및 수집Data분석과 확장이 가능한 IoT Service Platform개발,김석현
141,1068607319,TRKO202000011821,베스트케이에스,대용량 금융거래 데이터의 신뢰성 보장을 위한 메시지 지향 미들웨어 기술 개발,비공개항목입니다.,대한민국,1425128816,대용량 금융거래 데이터의 신뢰성 보장을 위한 메시지 지향 미들웨어 기술 개발,김준규
142,6138107603,,,,,,,,
143,4748603254,,,,,,,,
144,1368702594,,,,,,,,
145,1198101660,,,,,,,,
146,3608605813,,,,,,,,
147,1408104490,,,,,,,,
148,1078109144,,,,,,,,
149,1208707200,,,,,,,,
150,7048809588,,,,,,,,
151,1408805480,,,,,,,,
152,4723804039,,,,,,,,
153,2129509991,,,,,,,,
154,1078103301,,,,,,,,
155,6528706526,TRKO201900011914,한국통합민원센터,"주요 민원서류에 대한 자동번역 및 감수, 공증 이관시스템",비공개항목입니다.,대한민국,1425111394,"주요 민원서류의 다국어 자동번역 및 감수, 공증 이관 시스템",김영석
156,4588702304,,,,,,,,
157,6598708888,,,,,,,,
158,1328601944,,,,,,,,
159,1348101402,,,,,,,,
160,8798700491,,,,,,,,
161,2118702236,,,,,,,,
162,1388100885,TRKO201500018752,(주)아이티굿,지체장애인 및 노약자를 위한 장애인편의정보 및 접근성 정보제공 모바일어플리케이션 개발,표지... 1제출문... 3요 약 서 (초 록)... 4목차... 5그림목차... 8표목차... 12제 1 장 개발기술의 개요... 15 제 1 절 개발기술의 개요... 15 제 2 절 기술의 필요성... 15제 2 장 개발목표 및 개발내용... 18 제 1 절 기술개발 목표... 18  1. 기술개발 환경분석... 18  2. 동향분석을 통한 시사점 및 ...,대한민국,1425079655,지체장애인 및 노약자를 위한 장애인편의정보 및 접근성 정보제공 모바일어플리케이션 개발,배종현
163,2018609076,,,,,,,,
164,2648102998,,,,,,,,
165,2068807294,,,,,,,,
166,2088700897,,,,,,,,
167,1138706011,TRKO201700016672,인덱스솔루션,자동차 Wiper Blade 제품 공정 개선,비공개항목입니다.,대한민국,1425102896,자동차 Wiper Blade 제품 공정 개선,김종현
168,2548803140,,,,,,,,
169,4708604376,,,,,,,,
170,2268100963,,,,,,,,
171,2108108201,,,,,,,,
172,2118702099,,,,,,,,
173,6138107051,TRKO201900003218,태우산업,16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발,표지... 1제출문... 2기술개발과제 최종보고서 초록... 3기술개발과제 주요 연구성과... 9목차... 11Ⅰ. 사업개요... 12 1. 개발제품의 개요... 12 2. 비즈니스협력 컨소시엄... 16 3. 수행기관별 수행내용... 17 4. 기관 간 협력내용... 17 5. 참여인력 현황... 18Ⅱ. 기술개발 목표 및 추진현황... 19 1. 개발목...,대한민국,1415157744,16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발,김재규
174,6138107051,TRKO201900009662,태우산업,소형선박용 30㎏·f급 펌프 일체형 Water Turbo Thruster 개발,비공개항목입니다.,대한민국,1425110873,소형선박용 30kgf급 펌프 일체형 Water Turbo Thruster 개발,김재규
175,6138107051,TRKO201900003038,태우산업,16kgf㎠급 정량 제어가 가능한 자동 밸브 개발,표지... 1제출문... 2지역특화산업육성(R&D) 기술개발사업 보고서 요약서... 3지역특화산업육성(R&D) 기술개발사업 연차보고서... 4Ⅰ. 해당 연도 추진 현황... 5 Ⅰ-1. 최종 목표... 5 Ⅰ-2. 기술개발 추진 일정... 5 Ⅰ-3. 해당 연도 추진 실적... 6Ⅱ. 사업실적 및 성과... 73 Ⅱ-1. 기술개발 결과물... 73Ⅲ. 결론...,대한민국,1415154033,16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발,김재규
176,1278608137,,,,,,,,
177,8538605403,,,,,,,,
178,1058708631,,,,,,,,
179,1058704837,,,,,,,,
180,1218103764,,,,,,,,
181,8328806863,,,,,,,,
182,1058707499,,,,,,,,
183,1138601008,TRKO201900012113,아이티로그,여과 및 냉각시스템을 갖춘 WIFI내장형 스마트 반려동물 급수기 개발,비공개항목입니다.,대한민국,1425112091,여과 및 냉각시스템을 갖춘 WIFI내장형 스마트 반려동물 급수기 개발,조화주
184,1218100534,,,,,,,,
185,1138107504,,,,,,,,
186,1378806252,,,,,,,,
187,1052306139,,,,,,,,
188,4188107625,,,,,,,,
189,5868103558,,,,,,,,
190,6708105431,,,,,,,,
191,2148804352,,,,,,,,
192,5058108440,,,,,,,,
193,2268608592,,,,,,,,
194,6848605240,,,,,,,,
195,1358107212,,,,,,,,
196,1232402587,,,,,,,,
197,2148605120,TRKO201800011213,(주)씨앤에이인더스트리,전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화,비공개항목입니다.,대한민국,1425096099,전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화,이용수
198,2148605120,TRKO201900006776,(주)씨앤에이인더스트리,터치스크린패널OGS (One Glass Solution)용 White 밀베이스및 레지스트개발,비공개항목입니다.,대한민국,1425104953,터치스크린패널OGS (One Glass Solution)용 White 밀베이스및 레지스트개발,나성철
199,2148605120,TRKO201500014687,(주)씨앤에이인더스트리,"고휘도, 고C/R LCD Color filter용 Blue Millbase 개발",표지... 1제출문... 2요약서 (초록)... 3제 1 장 기술개발의 개요... 5 제 1 절 대상기술의 개요... 5 제 2절 개발 필요성 및 시급성... 8 제 3절 관련기술 현황... 10제 2 장 개발목표 및 개발내용... 13 제 1 절 기술개발 목표... 13 제 2절 세부개발 내용 및 방법... 14제 3 장 성과요약 및 기대효과... 35 ...,대한민국,1425076278,"고휘도, 고C/R LCD Color filter용 Blue Millbase 개발",나성철
200,2148605120,TRKO201800011213,(주)씨앤에이인더스트리,전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화,비공개항목입니다.,대한민국,1425096099,전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화,이용수
201,1148602144,TRKO201400014841,(주)씨앤에스아이,이동통신망(3G)을 활용한 H.264기반의 휴대용 IP 카메라 모듈 개발 및 통합관제프로그램 개발,,대한민국,1425075747,이동통신망(3G)을 활용한 H.264기반의 휴대용 IP 카메라 모듈 개발 및 통합관제프로그램 개발,김승광
202,1098605049,,,,,,,,
203,6058109311,,,,,,,,
204,1218103619,,,,,,,,
205,5178106027,,,,,,,,
206,7748708955,,,,,,,,
207,1131201292,TRKO201000016729,(주)에스티,웹 서비스 보안 플랫폼 및 응용 도구 개발,표 지...1제 출 문...2요 약 문...3SUMMARY...6목 차...11제 1 장 서론 ...14 제 1 절 기술개발의 목적 및 필요성...14  1. 기술개발의 목적...14  2. 기술개발의 필요성...16 제 2 절 국내ㆍ외 기술동향 및 전망분석 ...19  1. 웹 서비스 관련 표준화 단체 동향 ...19  2. 웹 서비스 보안 관련 기술 동...,대한민국,1445006428,웹 서비스 보안 플랫폼 및 응용 도구 개발,정창훈
208,1131201292,TRKO201900007215,(주)에스티,프로그레시브 성형 및 절연인쇄 공법에 의한 스마트폰용 Shield Can 개발,비공개항목입니다.,대한민국,1425106087,프로그레시브 성형 및 절연인쇄 공법에 의한 스마트폰용 Shield Can 개발,홍인수
209,1050504300,TRKO201400021617,(주)폴리텍,고정밀 유체제어용 다이어프램 구조의 컨트롤 밸브 개발,표지... 1지원과제 성과보고서... 2Ⅲ. 과제개발내역... 4 1. 개발목표(1차년도)... 4 2. 개발내용 및 결과... 5 3. 기술개발 목표대비 달성치... 37 4. 사업성과... 39 5. 산학협력 역할분담... 42 6. 기술개발결과 활용계획... 44 7. 종료 후 연구기자재 및 연구장비 활용계획... 46 8. 부설연구소/부서 운영현황....,대한민국,1425081552,고정밀 유체제어용 다이어프램 구조의 콘트롤 밸브 개발,예춘해
210,6358703369,,,,,,,,
211,2468106208,,,,,,,,
212,1548703545,,,,,,,,
213,5058107658,,,,,,,,
214,2208803433,TRKO201900014366,매드스퀘어,동영상 패널플랫폼 및 개인화 추천서비스를 위한 기반기술 개발,표지... 1최종보고서... 2제 출 문... 3요 약 서 (초 록)... 4목차... 6표목차... 7그림목차... 8제1장 개발기술의 개요... 11 제 1 절 개발 기술 개요... 11  1. 기술 개발 추진 배경... 11  2. 대상 서비스의 개요... 11 제 2 절 시장 현황... 12  1. 시장규모... 12  2. 성장 배경... 12  ...,대한민국,1425107289,동영상 패널플랫폼 및 개인화 추천서비스를 위한 기반기술 개발,안준희
215,2208803433,TRKO202000024852,매드스퀘어,소셜네트워크 연동 수익분배형 전자상거래 플랫폼 개발,비공개항목입니다.,대한민국,1425126312,소셜네트워크 연동 수익분배형 전자상거래 플랫폼 개발,이효주
216,5048101600,,,,,,,,
217,2458809663,,,,,,,,
218,5138108838,,,,,,,,
219,5348603187,,,,,,,,
220,2208809569,,,,,,,,
221,1198602789,,,,,,,,
222,1228604954,,,,,,,,
223,1178107908,TRKO201800039386,액터스네트웍스(주),IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실표준화,표지... 1제출문... 2정보통신방송연구개발사업(표준화사업) 최종보고서 초록... 3정보통신・방송 표준화사업 주요 연구성과... 11목차... 12제 1 장 서론... 13 제 1 절 과제의 개요... 13 제 2 절 국내외 기술개발 및 표준화 현황... 17제 2 장 과제 수행의 내용 및 결과(연구개발 내용 및 방법)... 28 제 1 절 최종 및 연차...,대한민국,1711055635,IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화,조광호
224,1178107908,TRKO202100006390,액터스네트웍스(주),IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화,표지... 1제출문... 2정보통신방송연구개발사업(표준화사업) 최종보고서 초록... 3정보통신·방송 표준화사업 주요 연구성과... 11목차... 12제 1 장 서론... 13 제 1 절 과제의 개요... 13 제 2 절 국내외 기술개발 및 표준화 현황... 17제 2 장 과제 수행의 내용 및 결과(연구개발 내용 및 방법)... 28 제 1 절 최종 및 연차...,대한민국,1711055635,IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화,조광호
225,6038200532,,,,,,,,
226,8204409316,,,,,,,,
227,6958605149,,,,,,,,
228,1378601432,,,,,,,,
229,8728607695,,,,,,,,
230,1198606362,,,,,,,,
231,5368601488,,,,,,,,
232,3128106162,,,,,,,,
233,1758800448,,,,,,,,
234,1208700159,,,,,,,,
235,1088108635,,,,,,,,
236,4338606998,,,,,,,,
237,4648104537,,,,,,,,
238,1348109870,,,,,,,,
239,3088104638,,,,,,,,
240,6138105316,,,,,,,,
241,5488604786,,,,,,,,
242,6120408266,,,,,,,,
243,1208705111,,,,,,,,
244,1058704690,TRKO201900004270,(주)에이티지랩,커넥티드카 모빌리티 실시간 서비스를 위한 엣지 클라우드 플랫폼개발,비공개항목입니다.,대한민국,1711073802,커넥티드카 모빌리티 실시간 서비스를 위한 엣지 클라우드 플랫폼개발,정진용
245,1058704690,TRKO202000005830,(주)에이티지랩,현장용 전자기록 이관기법 및 대용량 전자기록 이관·분석 방안 연구,표지... 1용역연구과제 최종보고서... 2제 출 문... 3목차... 4연구결과보고서 요약문... 5Summary... 6연구개발과제 연구결과... 7 제1장 연구개발 목표... 7  1절 연구개발과제의 목표... 7  2절 연구개발과제의 목표달성도... 11  3절 국내·외 기술개발 현황... 12 제2장 연구개발 내용 및 방법... 21  1절 국내 ...,대한민국,1315001288,디지털포렌식 기반 현장용 전자기록이관도구 고도화 개발 및 대용량 전자기록 이관분석 시스템,류병걸
