BusinessNum,Job,EmployeeStatus,ReviewDate,TotScore,PromotionScore,WelfareScore,BalanceScore,CultureScore,ExecutiveScore,ReviewTitle,Advantage,Disadvantage,ForExecutive,GrowthYN,RecommendYN
1318602138,마케팅/시장조사,전직원,20-Jul,20.0,20.0,20.0,20.0,20.0,20.0,"""체계적이지 못하며 대표가 기분에 따라 일이 시작되는 회사 제발 오지마세요 이런 회사는 망해도 됩니다 다들 생각하는 중소기업 그 이상의 세계를 볼 수 있습니다 신입이든 경력이든 집가까워서 괜찮다 싶어도 오지마세요 배울 수 있는게 하나도 없습니다. 별 하나도 아까운 회사 그 자체임.""","1. 야근비, 식대 이런거는 잘 줌... 2. 차도구 관련 지식을 늘릴 수 있음.(근데 이것도 다양하게 알 수 있는 시간을 주지 않음.) 3. 더 이상 장점도 없는데 그냥 위의 두가지만 적은거만 해도 감지덕지임.",1. 출근시간 미준수함. 9시부터 근무인데 8시 30분까지 오라고 하고 8시 30분부터 일을 시킴 노동법 미준수하는데 이럴거면 차라리 30분에 대한 근무수당도 챙겨줘야 되는데 안지키고 지각하면 지각비로 1만원 이상 내야 함 진짜 어이가 없음. 2. 중간관리자 및 상사들이 함량 미달임. 직급을 달았으면 자기 업무 외에도 밑에 있는 신입사원에 대해 업무방향을 잘 배분하던지 해야 하는데 일 못하면 무조건 물류쪽으로 보내서 일을 시키려고 함. 그게 제품을 알아야 한다는 점 때문이라고 함 정작 본업무도 못할정도로 물류 일을 시키는데 나중에 본업무도 안한다고 머라고 함. 그러면 애초에 본업무만 시키던가 아니면 아예 상관을 하지 말던가 정말 자기 기분에 따라 지시를 내리고 효율적인 업무 배분은 하나도 없음. 3. 직원을 소중하게 생각하지 않음. 직원을 소모품으로 생각하고 쓰다가 버리는 제품으로 보는 것 같음. 욕설과 폭언은 기본이고 평소에도 언성 엄청 높여서 말함. 수당을 주지 않는 점심시간에도 일을 시키며 단순히 점심시간에 손님이 왔다는 사실만으로도 일을 시킬려고 함. 어느 기업이나 점심시간에는 일 안시키고 문의 전화가 오면 전화를 돌려놓는 등의 방법이 보통의 방식인데 여기는 무슨 조선시대도 아니고 손님을 왕대접함. 손님 오면 무조건 매장가서 응대하고 이래야 하고 이런걸로 말하니 라떼는 말이야 하면서 꼰대를 부림.,정말 이 업무에 사람이 필요한지 고심하고 직원들을 채용하세요 자신들이 생각하는 인재상이 아니면 무시하고 그 사람이 정말 좋은 의견을 말하면 묵인하고 여기가 정치권도 아니고 이 세상에 당신을 대통령으로 떠받아주는 곳은 없습니다. 단지 회사를 운영하는 사장이라는 이유로 권력남용하는 것 우습네요 회사 주식도 다 대표한테 있을텐데 왜 그러시는 건지 모르겠네요 자꾸 일 못하면 돈낭비한다고 하는데 그럴거면 아예 채용을 하지 마세요,,
6848106803,IT/인터넷,전직원,21-Mar,60.0,60.0,40.0,60.0,40.0,40.0,"""웹이나 모바일 구축 프로젝트 경험을 쌓기에는 좋은 회사. 단, 회사가 성장성이나 맴파워 가 부족해서 오래 다니기엔 한계가 있는 기업.""",업무 특성상 파견업무가 대부분이라 프로젝트에 따라 업무강도나 근무환경이 차이는 있음. 꾸준하게 프로젝트가 들어오기 때문에 다양한 업무 경험이 가능. 특히 이커머스에 특화된 기업,"정규직과 계약직의 차이가 별로없고, 오히려 정규직에게 어려운 업무를 맡길때가 많아서 이직률이 높은편이고 , 복지도 평범하고 특별히 좋은 부분은 없음.","정규직 복지에 좀더 신경을 썼으면 좋겠고, 파견 나가있는 직원들에 대해서 좀더 신경써 주었으면 좋겠습니다.",비슷,이 기업을 추천하지 않습니다.
3128103383,,전직원,16-Jan,60.0,60.0,60.0,40.0,40.0,60.0,"""지방 소기업이지만 탄탄한 재무구조
시내에 사옥이 있음.
부산사람이면 출퇴근 용이""","imf에서도 살아남은 지방 중소 종합건설회사
꼬박꼬박 월급 나옴","수직적 조직문화
현장은 주7일제
상사 잘못 만남 피곤함","너무 옛날 조직문화입니다.
새로운 문화를 수용하는 지혜를 발휘하시길",비슷,이 기업을 추천하지 않습니다.
1328708050,,전직원,20-May,60.0,20.0,40.0,80.0,60.0,60.0,"""자급이 많이 부족한 회사. 회사의 경영이 불안합니다.""","일이 많이 없다면 연차쓰는것에 자유로움, 작은 회사라 사원들끼리 사이가 좋음, 믹스커피가 아닌 내려 마시는 커피가 있음","업계의 문제지만 외주를 하다보니 월급이 밀리는 경우가 생김, 회사의 파이프라인이 없음",경영에도 신경써야 하지만 회사내부의 문제들도 관심있으셨으면 좋겠습니다.,,이 기업을 추천하지 않습니다.
1088104508,IT/인터넷,전직원,18-Apr,40.0,40.0,40.0,40.0,20.0,40.0,"""회사 재무구조 측면은 현재는 안정적임
당분간도 그럴걸로 보임
그러나 영원하진 않을꺼고 그에 대한 새 먹거리 구상정도는 하는회사
솔루션을 가졌고 그 솔루션 사업을 하는 회사인척을 하나
실상은 그냥 SI다만 막가파식 배째라 SI는 아닌데.......
점점 다하는 SI로 바뀌는듯 아닌듯 애매함""","그냥 SI를 해도 자체 프레임웍 기준으로 진행 해서 소스나 개발 패턴의
통일성은 있음
프레임웍도 나름 쓸만 하고 꾸준히 업그레이드 하면서 정체되지 않으려는 노력은 보임
프로젝트후 리프레시 휴가가 딱 정해져 있음","사람 관리 못함
프리건 정규건 안좋게 나가면 험담 하는게 취미
프레임웍 기반의 VOC 솔루션에서 점점 이것저것 다하는 SI로 변해감
언뜻 보면 직원들 사이가 좋은듯 하나 근속 오래된 몇몇만 그럼
약간의 패거리 문화가 있음
직원들 사이에 격이 없다곤 하나 예의도 없을때가 많음
뭔가 집단화 우리는 하나를 강요 받는 분위기
아주 이상한 문화가 서로 맘에도 없는 칭찬 응원 문화가 있음
주말출근 철야를 하면 누가 그걸 했다 이프로젝트 사람들
고생한다 같은 왜 올리는지 모르겠는 글이
단톡이나 사내 게시판에 올라옴 다들 영혼없지만
의문적인 반응을 눈치보고 올림","사내정치를 강요하는 듯한 최상위 관리자들이 정상은 아닌걸로 보임
대표가 대표실 밖에서 벌어지는 일에 관심을 보여야 하지
않을까요?",비슷,이 기업을 추천하지 않습니다.
1308604793,서비스/고객지원,전직원,22-Feb,80.0,80.0,80.0,100.0,60.0,100.0,"""눈치안보고 임원들 옆만 잘붙어다니면 만나기 힘든 사람들 많이 만날수 있는 작은데 나만 열심히 하면 인정받을수 있는 회사랄까 (용보다 뱀꼬리 )""","개인적으로 필요한거 애기하면 안들어준적이 없다. 살짝 눈치보지만
코로나에 영향이 많은데도 일은있다. 대표가 영업능력?이 좋다.
직원들이 자꾸나가니깐 복지가 많이 생겼다.","너무자유분방하다. 거짓말로 광고주 만나러간다하고 쇼핑.놀아도 회사는 모른다. 장점인가? 직원관리가 허술? 문제의 직원이 있는데 놔둔다.(그 사람 나간듯)
코로나때문에 신규사업 생겼는데 코로나 끝나도 지속될꺼같음
너무 한쪽에 쏠린 매출구조(롯데일이 너무 많음)",직원들이 자꾸 나가서 복지가 늘어서 좋은데 그게 문제가 아니고 임원한테 잘보이고 뒤에서 회사 욕하는 직원 관리 잘하세요. 그 사람이 여럿 내보냈는데 그게 복지 떄문인줄 알고 있는데 그거 아니에요,비슷,이 기업을 추천 합니다!
1058704293,마케팅/시장조사,전직원,21-Apr,20.0,40.0,20.0,20.0,20.0,20.0,"""메가스터디 출신 대표가 차린 바이럴 중심의 마케팅 회사""","직원 나이대가 젊음.
홍대 근처에 사무실이 있었어서 교통은 괜찮았음.","연봉이 적고, 인턴을 뽑는 이유도 급여 절감 때문일듯.
최저시급 수준으로 인턴을 6개월씩 뽑았음.. 지금으로는 최저시급도 안될테니 오르긴 했을거임.. 그리고 알려주는거 없이 인턴에게 제안서를 쓰게했음. 모욕적인 말을 들어서 그만둠.",급여가 너무 적습니다. 사람은 어느정도 대우를 받아야 퇴사를 안하고 열심히 일합니다.,비슷,이 기업을 추천하지 않습니다.
6778801828,전직원,서울,,40.0,60.0,80.0,80.0,40.0,20.0,"""주4일제와 점심제공(가격한도없음) 되는 것은 좋았지만 체계가 부족함.""","주4일제라서 휴일이 많고, 점심식대가 제공되는데 법카 한도 무제한. 또 노트북 지급해주셔서 노트북으로 업무를 봄","노트북을 들고 갈수 있는데 이게 오히려 휴일에도 일하게 되는 독이 될수있음. 그리고 웹툰 들어올때 작품성이나 어떠한 컨셉에 맞춰서 들여오지 않고 무작위로 가지고 오셔서 웹툰 플랫폼이 많은데, 여기가 그 수많은 플랫폼들을 뚫고 살아남을수 있을까 생각함. 업무 분배도 잘 안되서 피디 라인이나 번역관리쪽은 야근이 많음","좀 더 체계적으로 운영해주시고, 각 직원들에게 업무분배를 효율적으로 해 주셨으면 좋겠습니다",,
1198601431,IT/인터넷,전직원,20-Dec,60.0,40.0,40.0,60.0,80.0,20.0,"""당시 분위기는 좋았으나 회사가 크지못해 아쉬움 클기회가 있었으나 왜 축소되었는지는 모르겠음""",진짜 가족같은 분위기이다 같은팀은 정말친분이 많이쌓이고 나와서도 가끔만난다,팀끼리만 가족같다. 다른팀은 거의 원수마냥 같은회사라고 볼수없다,현재와많이다르겠지만 인력들 소중하게 대해주시고 급여인상을 많이 해주시면좋겠습니다,,
2018102169,디자인,전직원,20-Oct,20.0,20.0,20.0,20.0,20.0,20.0,"""지금은 어떨지 모르겠으나 프리와 정직원으로 둘다일해봤는데 둘다 임금체불 너무심해서 고생했던회사네요 그냥 전반적으로 분위기가 다들 프리분위기 회사대표리는분 얼굴은 딱한번 스치듯봤네요  임금체불로 인해서 퇴사할때 실업급여 신청해달라했더니 회사가 나라에서 지원받는게있는네 임금체불로하면 지원못받는다고 안해주러고했었네요""",쉬고싶을때 자유롭게 쉴수있음 월급밀려도 나먼저달라 좀 땡깡쓰면 먼저받을수있음,임금체불 이네글자로 더할말이 있을까요 복지도 너무없고 회사자체가 죽은회사처럼 생기도 없음,직원들한테 신경좀 써주시고 프리로 임금밀릴뻔하고 일이년뒤에 정직원입사했는데 임금체불인거봤을때 두손두발들고 나왔네요,,
2068600800,디자인,현직원,18-Dec,100.0,100.0,100.0,100.0,100.0,100.0,"""자유로운 분위기와 성장가능성이 높고 맛있는 점심을 먹을 수 있는 환경이 있고 전망 좋은 창문 뷰가 있기도 하고 천장이 높아 창의력 증진에 도움이 됨""",연차를 눈치 보고 쓸 수 있고 주말 근무나 철야 시 대체 휴무가 발생하여 사용이 가능 하고 자유 롭게 사용이 가능하고 눈치는 봐야합니다. 수평적인 분위기가 있기도 하고 마음 편히 다닐 수 있기도 하고 지각도 봐주는 편입니다,단순 보고를 위해 비 효율 적인 관례적인 문서들이 조금 있는것 같습니다만 많진 않습니다. 점심이 제공 되지 않아 피같은 월급을 써서 밥을 먹어야 함으로 돈이 잘 모이지 않습니다.,신규사업에 대한 투자를 아낌없이 지원해주고 직원 복지에 대해 아낌없이 지원해주고 자동차로 출퇴근하는 직원에게 주차장을 제공해주고 커피를 조아하는 사람에게 커피를 내려주시옵서소,성장,이 기업을 추천 합니다!
1448102883,경영/기획/컨설팅,전직원,21-Apr,60.0,40.0,40.0,80.0,60.0,40.0,"""현장 직군은 일하는 환경이 계속 좋아짐""","자율적인 문화, 망하기 쉽지 않은 조직(sk브로드밴드가 없어지지 않는한 지속 될 듯), 규모갖계속 커짐","성장..... 더 이상 급여 인상은 힘든 회사, 노조 눈치만, 노조가 최고인 회사, 다수인 현장 서비스만 챙기는 회사",신규사업 등 사업확장에 신경 써주길... 소수 직군도 신경 써주길..,비슷,이 기업을 추천하지 않습니다.
1198105626,전직원,2014. 06,,60.0,60.0,40.0,80.0,40.0,60.0,"""자기개발을 하기에는 적합하지 않지만, 업무 외시간을 통하면 얼마든지 자기개발을 할 수 있는 곳""","가족같은 분위기의 업무 환경으로 적응의 어려움이나, 불편함에 대해서는 걱정하지 않아도 된다. 회사가 바쁘지 않다면 정시 퇴근하여 자기개발등의 시간을 보낼 수 있다.","중소 제조업으로 다소 근무 환경이 열악한 부분. 회사 일이 많고 적음이 확실하여 일이 없는 날에는 일찍 퇴근할 수 있지만, 많은 날에는 잦은 야근이 필요",신규 사업 발굴을 통한 회사 발전 필요. 복지 확장으로 직원들의 만족도에 신격 써주세요.,비슷,이 기업을 추천하지 않습니다.
1108106935,,전직원,18-Jun,20.0,40.0,40.0,20.0,20.0,20.0,"""한마디로 다시는 가고싶지 않은 그런 회사.
토나온다""","식대 차량유류비 숙소에 대해서는 만족함
직원들이 좋음. 첫 회사로 일만 배우고 나가겠다면 굳이 말리진 않는다","과장 차장이 굉장히 많고 야근이 굉장히 많아서
연봉이 터무니없이 모자라다 생각이 들정도임
신입은 얼마 못버티는 그런 회사",직원들의 불만을 들어주면 좋겠고 인력배치에 좀더 신경썼으면 함,,이 기업을 추천하지 않습니다.
4128106848,연구개발,현직원,19-Jun,60.0,60.0,60.0,80.0,60.0,60.0,"""가족같은회사, 앞으로의 성장가능성은 높음""",대표가 나이가 젊어 의욕이 높고 그로인해 회사가 발전할 가능성이 있음 대체적으로 자유로운 분위기에서 일하고 탄탄한 회사임,"연봉이 적음 그외에 복지제도 미흡, 이외에 일의 체계가 불안정하여 업무의 양이 일정치 않음",연봉이나 복지제도 개선 필요(상여금이나 야근수당 등),비슷,이 기업을 추천 합니다!
1068607319,IT/인터넷,전직원,20-May,60.0,60.0,60.0,80.0,60.0,60.0,"""인턴이었지만 크게 좋지도 나쁘지도 않은 경험이었음 보통 회사의 분위기를 파악하기 좋은느낌""",가족같은 분위기였고 상사들이 한번씩 상담해주며 조언을 아끼지않는 분위기였음,개발자를 하고싶다면 커리어에 크게 도움될것같지 않음 회사가 성장하고있다기보단 유지하는느낌,인턴이라 낯설고 무서웠는데 따뜻하게 맞이해줘서 너무 고마웠음. 단지 회사가 조금 더 성장했음 좋겠음,비슷,이 기업을 추천하지 않습니다.
1368702594,IT/인터넷,현직원,21-Aug,80.0,80.0,80.0,60.0,60.0,60.0,"""팀바팀이 심한회사. 팀원들의 회사 만족도가 천차 만별임. 구속 싫어하고 혼자 퍼포먼스를잘 낼수있는 스타일이면 잘 맞을 회사임""","젋은 사람들(?) 이 많아 적극적이고 으쌰으쌰 하는 분위기가 좋은 분위기를 냄. 새로운것에 대한 시도나 이런것에 다들 마음이 열려있고, 개인적으로 긍정적인 상승작용을 일으키는거 같습니다",젊은 사람들(?) 이 많아 활발한 의견 개진이 되지만 그중에는 걸러야 할 의견도 많이 보임.. 젊은회사라 어쩔수 없나봐요. 일을 어떻게해야하는지 아무도 모르고 프로세스가 없어서 하나하나 삽질로 쌓아올리는 그런 느낌들이 있는데 최근엔 경력직이 많이 들어와서 점차 개선 될거로 보입니다.,없습니다 더 소통했으면 좋겠어요 요즘엔 별로 소통이 없는 느낌이네요,성장,이 기업을 추천 합니다!
